City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint George,US,2022-02-01 15:45:09,37.1041,-113.5841,41.47,39,0,8.99
1,Rikitea,PF,2022-02-01 15:46:53,-23.1203,-134.9692,77.83,68,28,7.78
2,Castro,BR,2022-02-01 15:46:54,-24.7911,-50.0119,76.05,67,37,3.33
3,Cabo San Lucas,MX,2022-02-01 15:46:54,22.8909,-109.9124,69.51,55,0,2.08
4,Ushuaia,AR,2022-02-01 15:46:54,-54.8,-68.3,44.22,81,100,27.63
5,Atuona,PF,2022-02-01 15:46:55,-9.8,-139.0333,78.19,77,15,20.69
6,Tevaitoa,PF,2022-02-01 15:46:55,-16.7833,-151.5,80.92,75,8,19.89
7,Kaitangata,NZ,2022-02-01 15:46:56,-46.2817,169.8464,58.53,97,67,4.21
8,Suntar,RU,2022-02-01 15:46:56,62.1444,117.6319,-23.37,99,86,3.87
9,Carberry,CA,2022-02-01 15:46:57,49.8689,-99.3602,3.43,85,100,18.1
10,Vaini,TO,2022-02-01 15:46:57,-21.2,-175.2,77.16,88,20,4.61
11,Nikolskoye,RU,2022-02-01 15:43:18,59.7035,30.7861,26.49,98,99,2.57
12,Faanui,PF,2022-02-01 15:46:58,-16.4833,-151.75,81.07,74,7,18.68
13,Magnor,SE,2022-02-01 15:46:58,59.9511,12.1996,22.73,91,100,7.23
14,Hobart,AU,2022-02-01 15:43:13,-42.8794,147.3294,53.46,66,55,1.01
15,Ahipara,NZ,2022-02-01 15:46:59,-35.1667,173.1667,68.74,90,100,14.97
16,Katsuura,JP,2022-02-01 15:46:59,35.1333,140.3,44.19,58,1,15.03
17,Kodiak,US,2022-02-01 15:45:27,57.79,-152.4072,35.11,93,100,21.85
18,Tiksi,RU,2022-02-01 15:47:00,71.6872,128.8694,-17.01,100,100,3.53
19,Los Llanos De Aridane,ES,2022-02-01 15:47:00,28.6585,-17.9182,67.12,72,40,5.01
20,Punta Arenas,CL,2022-02-01 15:44:21,-53.15,-70.9167,48.31,61,75,32.21
21,Ponta Delgada,PT,2022-02-01 15:47:01,37.7333,-25.6667,63.32,67,20,14.97
22,Lebu,CL,2022-02-01 15:46:07,-37.6167,-73.65,65.95,66,1,11.63
23,Punta De Bombon,PE,2022-02-01 15:47:02,-17.1717,-71.7931,72.55,75,98,9.15
24,Yellowknife,CA,2022-02-01 15:43:44,62.456,-114.3525,-27.58,75,0,10.36
25,Constitucion,CL,2022-02-01 15:46:30,-35.3333,-72.4167,68.7,61,4,8.21
26,Bluff,NZ,2022-02-01 15:47:02,-46.6,168.3333,61.81,92,56,9.04
27,Victoria,HK,2022-02-01 15:45:57,22.2855,114.1577,61.95,87,100,11.01
28,Puerto Ayora,EC,2022-02-01 15:47:03,-0.7393,-90.3518,77.56,85,87,4.0
29,Vila Velha,BR,2022-02-01 15:47:04,-20.3297,-40.2925,91.35,65,0,10.0
30,Hithadhoo,MV,2022-02-01 15:47:04,-0.6,73.0833,82.98,71,15,14.45
31,Tuatapere,NZ,2022-02-01 15:45:23,-46.1333,167.6833,61.83,94,79,8.05
32,Jamestown,US,2022-02-01 15:47:05,42.097,-79.2353,31.59,47,0,11.01
33,Pimenta Bueno,BR,2022-02-01 15:47:05,-11.6725,-61.1936,74.01,92,99,1.54
34,Longyearbyen,SJ,2022-02-01 15:47:05,78.2186,15.6401,19.24,68,75,1.14
35,Mahebourg,MU,2022-02-01 15:47:06,-20.4081,57.7,80.26,94,75,18.41
36,Marawi,PH,2022-02-01 15:47:06,7.9986,124.2928,68.65,95,100,0.63
37,Qaanaaq,GL,2022-02-01 15:47:07,77.484,-69.3632,-14.17,87,100,8.34
38,Pierre,US,2022-02-01 15:44:22,44.3683,-100.351,17.85,59,0,1.99
39,Hermanus,ZA,2022-02-01 15:47:07,-34.4187,19.2345,83.89,76,3,6.58
40,Avarua,CK,2022-02-01 15:47:08,-21.2078,-159.775,78.85,83,100,9.22
41,Katangli,RU,2022-02-01 15:47:08,51.7102,143.2326,6.48,92,100,15.77
42,Busselton,AU,2022-02-01 15:47:09,-33.65,115.3333,63.05,59,0,20.58
43,Pingliang,CN,2022-02-01 15:47:09,35.5392,106.6861,12.61,91,90,5.75
44,Tasiilaq,GL,2022-02-01 15:47:10,65.6145,-37.6368,14.16,74,91,5.46
45,Lamu,KE,2022-02-01 15:47:10,-2.2717,40.902,80.82,83,42,13.87
46,Chalmette,US,2022-02-01 15:48:11,29.9427,-89.9634,64.99,73,100,1.99
47,Aitape,PG,2022-02-01 15:48:11,-3.1374,142.3475,76.69,91,100,6.62
48,Salamiyah,SY,2022-02-01 15:48:12,35.0113,37.0532,50.81,69,72,7.83
49,Xichang,CN,2022-02-01 15:48:12,27.8964,102.2634,37.4,96,100,7.63
50,Kapaa,US,2022-02-01 15:45:15,22.0752,-159.319,66.18,94,0,6.91
51,San Cristobal,VE,2022-02-01 15:48:13,7.7669,-72.225,71.78,35,60,8.77
52,Sorland,NO,2022-02-01 15:48:13,67.667,12.6934,31.86,69,0,27.63
53,Butaritari,KI,2022-02-01 15:48:14,3.0707,172.7902,81.12,78,98,13.85
54,Honningsvag,NO,2022-02-01 15:48:15,70.9821,25.9704,19.15,79,75,25.32
55,Mataura,NZ,2022-02-01 15:48:15,-46.1927,168.8643,61.48,95,42,4.03
56,San Carlos,VE,2022-02-01 15:48:15,9.6612,-68.5827,92.88,34,56,3.98
57,Dikson,RU,2022-02-01 15:48:16,73.5069,80.5464,1.6,92,100,19.64
58,Flinders,AU,2022-02-01 15:48:16,-34.5833,150.8552,75.18,82,100,4.0
59,Hilo,US,2022-02-01 15:48:17,19.7297,-155.09,68.61,79,100,4.61
60,San-Pedro,CI,2022-02-01 15:48:17,4.7485,-6.6363,84.69,64,48,10.45
61,Ponta Do Sol,PT,2022-02-01 15:48:18,32.6667,-17.1,75.13,34,10,14.34
62,Barrow,US,2022-02-01 15:48:18,71.2906,-156.7887,-14.78,84,40,0.0
63,Norman Wells,CA,2022-02-01 15:47:56,65.282,-126.8329,-20.16,69,75,3.44
64,Comodoro Rivadavia,AR,2022-02-01 15:48:19,-45.8667,-67.5,82.26,21,20,17.27
65,Krasnoselkup,RU,2022-02-01 15:43:47,65.7,82.4667,4.3,97,98,8.97
66,Port Elizabeth,ZA,2022-02-01 15:48:19,-33.918,25.5701,83.1,65,20,4.61
67,Helong,CN,2022-02-01 15:48:20,42.5397,128.9972,5.22,88,13,5.75
68,Zabid,YE,2022-02-01 15:48:20,14.1951,43.3152,81.27,56,79,7.96
69,Kruisfontein,ZA,2022-02-01 15:48:21,-34.0033,24.7314,80.89,62,36,12.17
70,Reconquista,AR,2022-02-01 15:48:21,-29.15,-59.65,100.11,17,0,5.75
71,Show Low,US,2022-02-01 15:48:22,34.2542,-110.0298,41.72,33,100,12.66
72,Qena,EG,2022-02-01 15:48:22,26.1615,32.7183,68.11,37,0,2.26
73,Kungurtug,RU,2022-02-01 15:48:22,50.5994,97.5228,-16.51,99,62,1.83
74,Wattegama,LK,2022-02-01 15:48:23,6.7989,81.4808,77.92,89,30,4.41
75,Santo Tomas,PH,2022-02-01 15:48:23,14.1079,121.1414,77.25,86,71,7.92
76,Taltal,CL,2022-02-01 15:45:22,-25.4,-70.4833,69.39,69,3,7.0
77,Quatre Cocos,MU,2022-02-01 15:48:24,-20.2078,57.7625,80.1,90,100,27.51
78,Merauke,ID,2022-02-01 15:46:17,-8.4667,140.3333,77.79,83,100,9.17
79,Catuday,PH,2022-02-01 15:48:24,16.2923,119.8062,76.21,73,7,12.24
80,Airai,TL,2022-02-01 15:48:14,-8.9266,125.4092,61.07,86,85,3.62
81,Nantucket,US,2022-02-01 15:43:51,41.2835,-70.0995,38.08,70,100,12.66
82,Bengkulu,ID,2022-02-01 15:48:25,-3.8004,102.2655,75.72,91,100,7.4
83,Port Lincoln,AU,2022-02-01 15:48:26,-34.7333,135.8667,60.22,59,3,19.06
84,Namatanai,PG,2022-02-01 15:48:26,-3.6667,152.4333,77.58,86,90,5.68
85,Albany,US,2022-02-01 15:45:02,42.6001,-73.9662,31.68,55,7,5.01
86,Cidreira,BR,2022-02-01 15:48:27,-30.1811,-50.2056,74.93,65,98,8.61
87,Mahanoro,MG,2022-02-01 15:48:27,-19.9,48.8,76.19,85,37,8.66
88,Klaksvik,FO,2022-02-01 15:48:27,62.2266,-6.589,32.92,76,100,31.72
89,Miranda,CO,2022-02-01 15:45:09,3.2499,-76.2281,80.73,76,91,3.65
90,Port Alfred,ZA,2022-02-01 15:47:20,-33.5906,26.891,78.8,78,100,11.59
91,Kardymovo,RU,2022-02-01 15:48:28,54.8902,32.4311,20.26,94,98,9.01
92,Coihaique,CL,2022-02-01 15:46:51,-45.5752,-72.0662,66.81,48,75,11.5
93,Bethel,US,2022-02-01 15:49:28,41.3712,-73.414,33.89,59,5,3.0
94,Baykit,RU,2022-02-01 15:49:29,61.67,96.37,-8.97,100,89,1.14
95,Tuktoyaktuk,CA,2022-02-01 15:49:29,69.4541,-133.0374,-23.8,69,0,5.75
96,Thompson,CA,2022-02-01 15:47:22,55.7435,-97.8558,-20.04,76,75,14.97
97,Yangcun,CN,2022-02-01 15:49:30,39.3639,117.0603,18.0,52,0,5.3
98,Havre-Saint-Pierre,CA,2022-02-01 15:49:15,50.2334,-63.5986,3.79,55,0,11.5
99,Cape Town,ZA,2022-02-01 15:48:03,-33.9258,18.4232,85.08,43,20,1.99
100,Arraial Do Cabo,BR,2022-02-01 15:48:09,-22.9661,-42.0278,84.16,78,75,8.05
101,Ratnagiri,IN,2022-02-01 15:49:31,16.9833,73.3,74.55,63,3,8.7
102,Rocha,UY,2022-02-01 15:47:26,-34.4833,-54.3333,76.66,35,0,3.04
103,Ambon,ID,2022-02-01 15:49:32,-3.6954,128.1814,77.14,88,40,5.75
104,Moose Factory,CA,2022-02-01 15:49:32,51.2585,-80.6094,24.8,86,100,14.97
105,Mount Gambier,AU,2022-02-01 15:49:32,-37.8333,140.7667,49.91,66,79,8.05
106,Otradnaya,RU,2022-02-01 15:49:33,44.3933,41.5206,31.53,97,99,5.23
107,Berlevag,NO,2022-02-01 15:46:14,70.8578,29.0864,17.4,48,0,6.91
108,Usevya,TZ,2022-02-01 15:49:33,-7.1,31.2333,68.07,95,92,2.62
109,San Vicente,AR,2022-02-01 15:49:34,-26.6167,-54.1333,95.74,14,0,2.8
110,Alice Springs,AU,2022-02-01 15:49:34,-23.7,133.8833,74.75,100,75,8.05
111,Middlebury,US,2022-02-01 15:49:35,44.0153,-73.1673,31.66,49,0,13.8
112,Meulaboh,ID,2022-02-01 15:49:35,4.1363,96.1285,78.64,79,60,1.59
113,Hualmay,PE,2022-02-01 15:49:36,-11.0964,-77.6139,74.98,71,81,9.78
114,Altamont,US,2022-02-01 15:48:00,42.2068,-121.7372,19.78,82,0,0.0
115,Batemans Bay,AU,2022-02-01 15:49:36,-35.7167,150.1833,73.2,94,100,7.99
116,Namwala,ZM,2022-02-01 15:48:54,-15.7504,26.4384,73.26,90,37,2.77
117,Ancud,CL,2022-02-01 15:49:37,-41.8697,-73.8203,63.43,79,89,7.52
118,Fort Nelson,CA,2022-02-01 15:49:37,58.8053,-122.7002,-22.41,76,100,3.44
119,Narsaq,GL,2022-02-01 15:49:38,60.9167,-46.05,16.02,88,80,3.22
120,Saskylakh,RU,2022-02-01 15:49:38,71.9167,114.0833,-27.92,100,50,1.43
121,Anta,IN,2022-02-01 15:49:38,25.15,76.3,66.31,50,0,5.46
122,Saldanha,ZA,2022-02-01 15:48:03,-33.0117,17.9442,78.85,82,19,11.03
123,Izberbash,RU,2022-02-01 15:49:39,42.5696,47.8645,32.05,82,11,2.66
124,Linxia,CN,2022-02-01 15:49:39,35.6003,103.2064,14.63,78,100,3.94
125,Saint-Philippe,RE,2022-02-01 15:49:40,-21.3585,55.7679,81.95,86,54,17.69
126,Opuwo,NA,2022-02-01 15:49:40,-18.0607,13.84,86.34,18,7,15.59
127,Salalah,OM,2022-02-01 15:49:41,17.0151,54.0924,75.29,60,0,3.44
128,Touros,BR,2022-02-01 15:49:41,-5.1989,-35.4608,90.5,59,9,15.1
129,Jacareacanga,BR,2022-02-01 15:49:41,-6.2222,-57.7528,81.52,87,57,3.29
130,Lanzhou,CN,2022-02-01 15:49:42,36.0564,103.7922,20.48,51,98,1.16
131,Georgetown,MY,2022-02-01 15:45:19,5.4112,100.3354,85.89,78,20,5.01
132,Hay River,CA,2022-02-01 15:48:04,60.8156,-115.7999,-16.62,69,20,9.22
133,Lannion,FR,2022-02-01 15:49:43,48.75,-3.4167,50.54,93,100,17.27
134,Yanam,IN,2022-02-01 15:49:43,16.7333,82.2167,68.97,79,1,2.35
135,Escanaba,US,2022-02-01 15:45:45,45.7453,-87.0646,36.97,80,0,17.27
136,Port-Gentil,GA,2022-02-01 15:49:44,-0.7193,8.7815,87.76,70,40,10.36
137,Arkhangelskoye,RU,2022-02-01 15:49:44,55.8549,35.3287,22.78,95,100,10.29
138,Luwuk,ID,2022-02-01 15:49:44,-0.9516,122.7875,78.94,77,100,5.12
139,Mimongo,GA,2022-02-01 15:49:45,-1.6195,11.6068,78.8,81,26,2.48
140,Sola,VU,2022-02-01 15:49:45,-13.8833,167.55,75.87,100,75,0.0
141,Sao Joao Da Barra,BR,2022-02-01 15:50:46,-21.6403,-41.0511,87.89,76,98,9.08
142,Chuy,UY,2022-02-01 15:50:46,-33.6971,-53.4616,74.86,38,0,3.91
143,Okato,NZ,2022-02-01 15:50:46,-39.2,173.8833,66.9,83,100,15.77
144,Mar Del Plata,AR,2022-02-01 15:49:06,-38.0023,-57.5575,77.02,52,0,25.99
145,Sakakah,SA,2022-02-01 15:50:47,29.9697,40.2064,58.57,39,0,6.38
146,Wajima,JP,2022-02-01 15:50:48,37.4,136.9,37.94,84,100,21.45
147,Juneau,US,2022-02-01 15:50:06,58.3019,-134.4197,21.25,89,0,0.0
148,Burnie,AU,2022-02-01 15:47:22,-41.0667,145.9167,54.91,71,14,11.65
149,Mugur-Aksy,RU,2022-02-01 15:50:48,50.35,90.5,-7.64,97,73,5.28
150,Naze,JP,2022-02-01 15:50:49,28.3667,129.4833,55.17,69,100,12.35
151,Saint-Francois,FR,2022-02-01 15:49:49,46.4154,3.9054,40.68,93,100,9.22
152,Urucara,BR,2022-02-01 15:50:49,-2.5364,-57.76,86.77,60,83,5.23
153,Horizontina,BR,2022-02-01 15:50:50,-27.6258,-54.3078,98.11,16,0,4.09
154,Tripoli,LY,2022-02-01 15:50:50,32.8752,13.1875,56.84,51,42,28.92
155,Salinas,US,2022-02-01 15:47:08,36.6777,-121.6555,48.97,90,0,3.44
156,Nombre De Dios,MX,2022-02-01 15:50:51,23.85,-104.2333,55.81,17,0,6.22
157,Tutzing,DE,2022-02-01 15:50:51,47.9094,11.2803,34.29,82,100,25.32
158,Soyo,AO,2022-02-01 15:50:52,-6.1349,12.3689,86.05,76,36,12.77
159,Saint-Avold,FR,2022-02-01 15:50:52,49.1027,6.7006,43.09,99,100,18.41
160,Baft,IR,2022-02-01 15:50:53,29.234,56.6057,44.38,76,90,16.51
161,Nome,US,2022-02-01 15:49:18,64.5011,-165.4064,21.27,45,0,16.11
162,Sassandra,CI,2022-02-01 15:50:53,4.95,-6.0833,85.33,61,48,10.36
163,Zyryanka,RU,2022-02-01 15:50:54,65.75,150.85,-9.65,94,100,15.9
164,Mananara,MG,2022-02-01 15:50:54,-16.1667,49.7667,78.26,77,100,7.83
165,Fare,PF,2022-02-01 15:48:53,-16.7,-151.0167,80.62,75,2,19.42
166,Atikokan,CA,2022-02-01 15:50:55,48.7555,-91.6216,19.81,90,100,14.81
167,Launceston,AU,2022-02-01 15:50:55,-41.45,147.1667,56.61,56,75,5.01
168,Svetlyy,RU,2022-02-01 15:50:56,54.675,20.1347,32.05,89,100,12.48
169,Hirado,JP,2022-02-01 15:50:56,33.3597,129.5531,41.36,51,7,13.09
170,Kargopol,RU,2022-02-01 15:50:57,61.5071,38.9456,14.58,96,100,4.47
171,Cockburn Town,TC,2022-02-01 15:50:57,21.4612,-71.1419,75.38,73,83,19.24
172,Khatanga,RU,2022-02-01 15:50:57,71.9667,102.5,-34.67,100,20,3.58
173,Upernavik,GL,2022-02-01 15:48:55,72.7868,-56.1549,-16.64,78,100,5.46
174,Khorramshahr,IR,2022-02-01 15:50:58,30.4397,48.1664,58.96,77,40,6.91
175,Vardo,NO,2022-02-01 15:50:58,70.3705,31.1107,13.98,85,0,11.5
176,Deyang,CN,2022-02-01 15:50:59,31.1302,104.382,42.03,83,100,5.66
177,Kavieng,PG,2022-02-01 15:50:59,-2.5744,150.7967,76.84,88,100,7.63
178,Sabang,ID,2022-02-01 15:51:00,5.8933,95.3214,82.26,76,20,10.47
179,Zhigansk,RU,2022-02-01 15:51:00,66.7697,123.3711,-28.89,99,95,8.19
180,Iraucuba,BR,2022-02-01 15:51:01,-3.7461,-39.7833,92.64,37,99,6.55
181,Hasaki,JP,2022-02-01 15:51:01,35.7333,140.8333,36.0,50,2,20.8
182,Bontang,ID,2022-02-01 15:51:01,0.1333,117.5,78.48,87,100,11.12
183,Alyangula,AU,2022-02-01 15:51:02,-13.8483,136.4192,80.47,89,100,9.22
184,Fernandez,AR,2022-02-01 15:51:02,-27.9204,-63.8935,97.47,18,66,11.97
185,Lavrentiya,RU,2022-02-01 15:48:09,65.5833,-171.0,4.01,68,13,19.33
186,Yerbogachen,RU,2022-02-01 15:51:03,61.2767,108.0108,-27.09,100,67,2.19
187,Roebourne,AU,2022-02-01 15:52:03,-20.7833,117.1333,88.07,58,100,5.46
188,Carnarvon,AU,2022-02-01 15:48:56,-24.8667,113.6333,78.87,73,29,19.57
189,Mecca,SA,2022-02-01 15:52:04,21.4267,39.8261,71.38,35,1,7.96
190,Mount Isa,AU,2022-02-01 15:52:04,-20.7333,139.5,78.57,83,48,4.61
191,Kingaroy,AU,2022-02-01 15:52:05,-26.5333,151.8333,73.44,100,100,4.61
192,Pag,HR,2022-02-01 15:52:05,44.445,15.0575,48.78,62,14,12.28
193,Gizo,SB,2022-02-01 15:52:05,-8.103,156.8419,82.56,78,95,10.89
194,Robertsport,LR,2022-02-01 15:50:58,6.7533,-11.3686,83.08,68,73,13.69
195,Greystones,IE,2022-02-01 15:52:06,53.1408,-6.0631,52.88,92,100,16.55
196,Kaeo,NZ,2022-02-01 15:50:42,-35.1,173.7833,70.32,90,100,13.04
197,Port Hedland,AU,2022-02-01 15:49:28,-20.3167,118.5667,80.65,94,100,5.75
198,Bredasdorp,ZA,2022-02-01 15:48:49,-34.5322,20.0403,76.28,49,1,12.62
199,Karratha,AU,2022-02-01 15:52:07,-20.7377,116.8463,88.39,57,100,5.08
200,Tupanatinga,BR,2022-02-01 15:52:07,-8.7533,-37.3397,84.07,43,27,7.56
201,Prieska,ZA,2022-02-01 15:52:08,-29.6641,22.7474,72.05,81,98,0.85
202,Sale,MA,2022-02-01 15:52:08,34.0389,-6.8166,73.42,37,0,6.91
203,Santa Helena,BR,2022-02-01 15:52:09,-2.2311,-45.3,92.35,44,99,6.13
204,Grand-Lahou,CI,2022-02-01 15:52:09,5.1367,-5.0242,84.78,64,81,11.39
205,Mangan,IN,2022-02-01 15:52:10,27.5167,88.5333,41.83,78,42,7.14
206,Port Hardy,CA,2022-02-01 15:52:10,50.6996,-127.4199,37.76,93,75,5.75
207,North Bend,US,2022-02-01 15:52:11,43.4065,-124.2243,35.92,79,20,6.91
208,Tiarei,PF,2022-02-01 15:52:11,-17.5333,-149.3333,77.0,75,10,20.07
209,Sabha,LY,2022-02-01 15:52:12,27.0377,14.4283,64.53,14,8,10.92
210,Roald,NO,2022-02-01 15:52:12,62.5833,6.1333,35.33,100,100,13.8
211,Calabozo,VE,2022-02-01 15:52:12,8.9242,-67.4293,92.35,36,5,8.23
212,Beecher,US,2022-02-01 15:52:13,43.09,-83.6944,38.46,61,0,5.01
213,Carutapera,BR,2022-02-01 15:52:13,-1.195,-46.02,84.06,73,99,7.47
214,Zlobin,HR,2022-02-01 15:52:14,45.2924,14.6541,36.7,56,20,13.8
215,Weyburn,CA,2022-02-01 15:52:14,49.6668,-103.8511,-4.83,77,100,24.16
216,Sibolga,ID,2022-02-01 15:52:15,1.7427,98.7792,75.42,95,100,2.64
217,Kushima,JP,2022-02-01 15:52:15,31.4583,131.2333,40.12,73,39,9.26
218,Leningradskiy,RU,2022-02-01 15:52:15,69.3833,178.4167,-12.03,94,26,11.88
219,Mirnyy,RU,2022-02-01 15:52:16,62.5353,113.9611,-26.77,67,16,4.0
220,East London,ZA,2022-02-01 15:52:16,-33.0153,27.9116,77.94,88,75,5.75
221,Ribeira Grande,PT,2022-02-01 15:48:30,38.5167,-28.7,63.0,72,20,23.02
222,Hamilton,US,2022-02-01 15:50:44,39.1834,-84.5333,47.98,56,20,1.99
223,Am Timan,TD,2022-02-01 15:52:17,11.0297,20.2827,86.74,13,7,1.77
224,Palmonostora,HU,2022-02-01 15:52:17,46.6242,19.9516,38.1,75,73,3.4
225,Hovd,MN,2022-02-01 15:52:18,48.0056,91.6419,-6.21,90,100,0.92
226,Perama,GR,2022-02-01 15:52:19,37.9757,23.5828,58.62,77,75,16.11
227,Huilong,CN,2022-02-01 15:52:19,31.8111,121.655,42.04,71,14,8.48
228,Frolovo,RU,2022-02-01 15:52:19,49.7713,43.6622,27.12,92,100,10.36
229,Redcar,GB,2022-02-01 15:52:20,54.6166,-1.06,52.54,66,100,11.99
230,Ust-Ishim,RU,2022-02-01 15:52:20,57.6935,71.1665,-0.54,100,89,2.89
231,Vuktyl,RU,2022-02-01 15:52:21,63.8567,57.3094,0.28,95,61,3.71
232,Fortuna,US,2022-02-01 15:52:21,40.5982,-124.1573,38.32,82,0,1.01
233,Tadine,NC,2022-02-01 15:53:21,-21.55,167.8833,75.11,83,100,9.55
234,Svetlogorsk,BY,2022-02-01 15:53:22,52.6333,29.7333,22.33,95,98,8.01
235,Woodward,US,2022-02-01 15:53:22,36.4337,-99.3904,43.97,93,100,11.5
236,Kahului,US,2022-02-01 15:53:23,20.8947,-156.47,67.26,80,0,5.75
237,Port Augusta,AU,2022-02-01 15:53:23,-32.5,137.7667,62.74,53,79,22.39
238,Luderitz,NA,2022-02-01 15:53:24,-26.6481,15.1594,69.21,79,47,10.22
239,Lorengau,PG,2022-02-01 15:53:24,-2.0226,147.2712,78.58,85,100,12.37
240,Dingle,PH,2022-02-01 15:53:25,10.9995,122.6711,73.94,94,92,7.56
241,Qeshm,IR,2022-02-01 15:53:26,26.9581,56.2719,71.49,68,0,21.3
242,Katakwi,UG,2022-02-01 15:53:26,1.8911,33.9661,83.71,28,88,3.91
243,Severo-Kurilsk,RU,2022-02-01 15:53:26,50.6789,156.125,24.35,79,44,6.22
244,Solnechnyy,RU,2022-02-01 15:53:27,50.7214,136.6319,-2.54,99,98,1.19
245,Geraldton,AU,2022-02-01 15:53:27,-28.7667,114.6,81.01,36,98,10.36
246,Sisophon,KH,2022-02-01 15:53:28,13.5859,102.9737,82.6,60,36,7.54
247,Laguna,US,2022-02-01 15:53:28,38.421,-121.4238,49.28,59,0,5.99
248,Gondanglegi,ID,2022-02-01 15:53:28,-7.7479,112.0132,74.1,95,100,2.17
249,Tulsipur,NP,2022-02-01 15:53:29,28.131,82.2973,50.11,69,2,4.32
250,Dan Khun Thot,TH,2022-02-01 15:53:29,15.2085,101.7714,85.68,66,32,3.36
251,Havoysund,NO,2022-02-01 15:53:30,70.9963,24.6622,23.88,70,94,10.74
252,Makakilo City,US,2022-02-01 15:52:52,21.3469,-158.0858,71.92,83,0,5.75
253,Safaga,EG,2022-02-01 15:53:30,26.7292,33.9365,67.95,54,0,5.26
254,Ilulissat,GL,2022-02-01 15:49:37,69.2167,-51.1,6.82,51,75,8.05
255,Rawson,AR,2022-02-01 15:53:31,-43.3002,-65.1023,75.24,40,29,6.29
256,Shwebo,MM,2022-02-01 15:53:31,22.5667,95.7,63.36,45,4,5.26
257,Kapit,MY,2022-02-01 15:53:32,2.0167,112.9333,72.52,99,97,1.21
258,Faya,SA,2022-02-01 15:53:32,18.3851,42.4509,60.91,65,6,3.8
259,Chokurdakh,RU,2022-02-01 15:53:33,70.6333,147.9167,-16.58,97,100,0.96
260,Emba,KZ,2022-02-01 15:53:33,48.8264,58.1442,21.94,82,100,10.58
261,Tabou,CI,2022-02-01 15:53:33,4.423,-7.3528,83.88,66,67,10.63
262,Petropavlovsk-Kamchatskiy,RU,2022-02-01 15:53:34,53.0452,158.6483,16.39,93,75,4.47
263,Yarmouth,US,2022-02-01 15:53:34,41.7057,-70.2286,36.97,81,100,5.75
264,Kirovohrad,UA,2022-02-01 15:53:35,48.5132,32.2597,26.83,93,100,3.58
265,Sangar,RU,2022-02-01 15:53:35,63.9242,127.4739,-29.0,98,100,4.76
266,Cairns,AU,2022-02-01 15:53:35,-16.9167,145.7667,80.06,97,100,2.3
267,Souillac,MU,2022-02-01 15:53:36,-20.5167,57.5167,80.37,94,75,18.41
268,Syracuse,IT,2022-02-01 15:53:36,37.0881,15.2792,53.65,69,99,23.17
269,Brewster,US,2022-02-01 15:53:37,41.3973,-73.6171,33.35,57,4,1.99
270,Manbij,SY,2022-02-01 15:53:37,36.5281,37.9549,41.77,82,82,9.19
271,Bushenyi,UG,2022-02-01 15:53:37,-0.5853,30.2114,69.73,56,100,2.35
272,Pachino,IT,2022-02-01 15:53:38,36.7186,15.0907,53.64,64,97,15.84
273,Kununurra,AU,2022-02-01 15:52:33,-15.7667,128.7333,78.78,83,40,9.22
274,Antropovo,RU,2022-02-01 15:53:38,58.3988,43.0066,26.67,96,100,8.63
275,Joshimath,IN,2022-02-01 15:53:39,30.5667,79.5667,35.91,39,0,7.63
276,Gazojak,TM,2022-02-01 15:53:39,41.1875,61.4036,41.72,68,95,9.46
277,Nanortalik,GL,2022-02-01 15:53:40,60.1432,-45.2371,16.2,75,15,11.97
278,Iqaluit,CA,2022-02-01 15:54:40,63.7506,-68.5145,-25.31,67,75,3.44
279,George Town,MY,2022-02-01 15:54:40,5.4112,100.3354,85.89,78,20,5.01
280,Alagoinhas,BR,2022-02-01 15:54:41,-12.1356,-38.4192,91.6,43,64,6.76
281,Goderich,CA,2022-02-01 15:49:52,43.7501,-81.7165,31.91,69,100,16.11
